State,total tarrif,state pop,per capita,trump vote
Hawaii,61558,1427538,0.043121794,30
Vermont,958533,623657,1.53695541,30.3
California,383406339,39536653,9.69749106,31.5
Massachusetts,39918940,6859819,5.819241003,32.8
Maryland,28512215,6052177,4.711067604,33.9
New York,144606320,19849399,7.285173722,36.5
Washington,122339814,7405743,16.51958676,36.8
Illinois,143837191,12802023,11.23550481,38.4
Rhode Island,27334851,1059639,25.79638065,38.9
Idaho,8741832,1716943,5.091509736,59.2
Arkansas,5463833,3004279,1.818683618,60.6
Tennessee,508185671,6715984,75.6680884,60.7
South Dakota,903623,869666,1.039046025,61.5
Alabama,182687031,4874747,37.47620769,62.1
Kentucky,193246132,4454189,43.38525644,62.5
North Dakota,2366658,755393,3.13301553,63
Oklahoma,6032520,3930864,1.534654977,65.3
West Virginia,39451635,1815857,21.72617943,67.9
Wyoming,19154,579315,0.033063187,68.2
